Row_Number,Candidate_ID,Title,Final_Decision,URL,FilePath,Filename,Retrieved_At,Match_Status
2,CAND_7283366E31,Business Incentives,review,https://powderspringsga.gov/DocumentCenter/View/2486/Georgia-Business-Incentives-Brochure,evAutomationUpdated/data/tavily ready documents/review/CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,CAND_7283366E31_Georgia%20Business%20Incentives%20Brochure_201404101530397659.pdf,2026-03-25T15:28:47,published
3,CAND_EA6E724597,"Presentation to Annual General Meeting held on April 17, 2024",review,https://www.sec.gov/Archives/edgar/data/1859795/000095017024045550/nvx-ex99_3.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_EA6E724597_nvx-ex99_3.htm,CAND_EA6E724597_nvx-ex99_3.htm,2026-03-25T15:28:47,published
4,CAND_FB025E8336,"The Port of Savannah Logistics Cluster | Port Economics, Management and Policy",review,https://porteconomicsmanagement.org/pemp/contents/part12/port-of-savannah-logistics-cluster,"evAutomationUpdated/data/tavily ready documents/review/CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html","CAND_FB025E8336_The_Port_of_Savannah_Logistics_Cluster_Port_Economics,_Management_and_Policy.html",2026-03-25T15:28:47,published
5,CAND_AE87F319D1,"Annual GPA ports guide and directory, 2010-2011 - Digital Library of Georgia",review,https://dlg.usg.edu/record/dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext,evAutomationUpdated/data/tavily ready documents/review/CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,CAND_AE87F319D1_dlg_ggpd_y-ga-bp900-b-ps1-bp62-b2010-h2011-belec-p-btext.html,2026-03-25T15:28:47,published
6,CAND_A63E959ADD,Investor Presentation - SEC.gov,review,https://www.sec.gov/Archives/edgar/data/1882198/000121390025045028/ea024263701ex99-1_athena2.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,CAND_A63E959ADD_ea024263701ex99-1_athena2.htm,2026-03-25T15:28:47,published
7,CAND_EC164BEA16,"Savannah, GA: A Strategic Gateway for International Trade",review,https://www.averitt.com/blog/savannah-georgia-logistics-hub,evAutomationUpdated/data/tavily ready documents/review/CAND_EC164BEA16_savannah-georgia-logistics-hub.html,CAND_EC164BEA16_savannah-georgia-logistics-hub.html,2026-03-25T15:28:47,published
8,CAND_3084EE6CB5,electra battery materials corporation - SEC.gov,review,https://www.sec.gov/Archives/edgar/data/1907184/000117184325005930/exh_992.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_3084EE6CB5_exh_992.htm,CAND_3084EE6CB5_exh_992.htm,2026-03-25T15:28:47,published
9,CAND_B256B3B485,Lineage | Georgia Port-Centric Expansion,review,https://www.onelineage.com/news-stories/lineage-expands-port-centric-facility-footprint-savannah-georgia,evAutomationUpdated/data/tavily ready documents/review/CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,CAND_B256B3B485_lineage-expands-port-centric-facility-footprint-savannah-georgia_2.html,2026-03-25T15:28:47,published
10,CAND_05B096ACEC,2019 ANNUAL REPORT | 1 Georgia Environmental Finance Authority,review,https://gefa.georgia.gov/document/publication/2022-georgia-energy-report/download,evAutomationUpdated/data/tavily ready documents/review/CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,CAND_05B096ACEC_Georgia-Energy-Report-2022_1.pdf,2026-03-25T15:28:47,published
11,CAND_5F0002B474,"Bartow County, Georgia Fulfills Location & Logistical ...",review,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_5F0002B474_voestalpine.pdf,CAND_5F0002B474_voestalpine.pdf,2026-03-25T15:28:47,published
12,CAND_4640FCAC80,ttm-ex991_6.htm,review,https://www.sec.gov/Archives/edgar/data/926042/000156459021050610/ttm-ex991_6.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_4640FCAC80_ttm-ex991_6.htm,CAND_4640FCAC80_ttm-ex991_6.htm,2026-03-25T15:28:47,published
13,CAND_C6DD9F27F1,i TABLE OF CONTENTS EXECUTIVE SUMARY . . . . 1 - 1 1.0 INTRODUCTION . . . .,review,https://www.energy.gov/sites/default/files/2024-03/eis-0551-venture-global-cp2-lng-vol-1-2023-07-01.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_C6DD9F27F1_eis-0551-venture-global-cp2-lng-vol-1-2023-07-01.pdf,CAND_C6DD9F27F1_eis-0551-venture-global-cp2-lng-vol-1-2023-07-01.pdf,2026-03-25T15:28:47,published
14,CAND_F06376F88B,Friendshoring the Lithium-Ion Battery Supply Chain: Battery Cell Manufacturing | CSIS,review,https://www.csis.org/analysis/friendshoring-lithium-ion-battery-supply-chain-battery-cell-manufacturing,evAutomationUpdated/data/tavily ready documents/review/CAND_F06376F88B_friendshoring-lithium-ion-battery-supply-chain-battery-cell-manufacturing.html,CAND_F06376F88B_friendshoring-lithium-ion-battery-supply-chain-battery-cell-manufacturing.html,2026-03-25T15:28:47,published
15,CAND_0116545609,Perpetually Pushing Ahead - Georgia Trend Magazine,review,https://www.georgiatrend.com/2021/10/31/perpetually-pushing-ahead,evAutomationUpdated/data/tavily ready documents/review/CAND_0116545609_Perpetually_Pushing_Ahead_-_Georgia_Trend_Magazine.html,CAND_0116545609_Perpetually_Pushing_Ahead_-_Georgia_Trend_Magazine.html,2026-03-25T15:28:47,published
16,CAND_9A835F3448,LOGISTICS FACTS SHEET STATE OF GEORGIA,review,https://georgia.org/sites/default/files/2022-09/logistics_fact_sheets_statewide.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_9A835F3448_logistics_fact_sheets_statewide.pdf,CAND_9A835F3448_logistics_fact_sheets_statewide.pdf,2026-03-25T15:28:47,published
17,CAND_00611B6E30,[PDF] Assessment of U.S. light-duty vehicle battery manufacturing jobs by ...,review,https://theicct.org/wp-content/uploads/2024/12/ID-255-%E2%80%93-Battery-jobs_working-paper_final.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_00611B6E30_ID-255-%E2%80%93-Battery-jobs_working-paper_final_2.pdf,CAND_00611B6E30_ID-255-%E2%80%93-Battery-jobs_working-paper_final_2.pdf,2026-03-25T15:28:47,published
18,CAND_6E02A101C7,Georgia Ports Secures $120 Million in Federal Grants for Rail...,review,https://www.globaltrademag.com/georgia-ports-secures-120-million-in-federal-grants-for-rail-and-electrification-projects,evAutomationUpdated/data/tavily ready documents/review/CAND_6E02A101C7_Georgia_Ports_Secures_$120_Million_in_Federal_Grants_for_Rail...html,CAND_6E02A101C7_Georgia_Ports_Secures_$120_Million_in_Federal_Grants_for_Rail...html,2026-03-25T15:28:47,published
19,CAND_CB5B88CA48,SUPERCHARGED: Georgia’s Clean Energy Boom After the Inflation Reduction Act,review,https://www.warnock.senate.gov/wp-content/uploads/2025/05/SRW-IRA-Report-Final.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_CB5B88CA48_SRW-IRA-Report-Final.pdf,CAND_CB5B88CA48_SRW-IRA-Report-Final.pdf,2026-03-25T15:28:47,published
20,CAND_6086387DC6,Report: Vietnam's Battery Supply Chain,review,https://www.energytransitionpartnership.org/wp-content/uploads/2025/08/20250712_Phase-2-Report_EN.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_6086387DC6_20250712_Phase-2-Report_EN.pdf,CAND_6086387DC6_20250712_Phase-2-Report_EN.pdf,2026-03-25T15:28:47,published
21,CAND_FBEBF8BD02,2-1 Georgia Freight Plan 2. Georgia’s Freight Economy,review,https://www.dot.ga.gov/InvestSmart/Freight/GeorgiaFreight/Chapter2_Georgia_Freight_Economy.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_FBEBF8BD02_Chapter2_Georgia_Freight_Economy.pdf,CAND_FBEBF8BD02_Chapter2_Georgia_Freight_Economy.pdf,2026-03-25T15:28:47,published
22,CAND_513B1BCFEF,Electric Vehicle (EV) And Battery Manufacturing in the Great Lakes Region - RMI,review,https://rmi.org/electric-vehicle-battery-manufacturing-in-the-great-lakes-region,evAutomationUpdated/data/tavily ready documents/review/CAND_513B1BCFEF_electric-vehicle-battery-manufacturing-in-the-great-lakes-region.html,CAND_513B1BCFEF_electric-vehicle-battery-manufacturing-in-the-great-lakes-region.html,2026-03-25T15:28:47,published
23,CAND_B6E49D4D34,Georgia Ports: On the World Stage - Georgia Trend Magazine,review,https://www.georgiatrend.com/2024/10/31/georgia-ports-on-the-world-stage,evAutomationUpdated/data/tavily ready documents/review/CAND_B6E49D4D34_Georgia_Ports_On_the_World_Stage_-_Georgia_Trend_Magazine.html,CAND_B6E49D4D34_Georgia_Ports_On_the_World_Stage_-_Georgia_Trend_Magazine.html,2026-03-25T15:28:47,published
24,CAND_2BA710409B,Georgia is plugged in to electric transportation | Select Georgia,review,https://www.selectgeorgia.com/blog/electric-transportation,evAutomationUpdated/data/tavily ready documents/review/CAND_2BA710409B_Georgia_is_plugged_in_to_electric_transportation_Select_Georgia.html,CAND_2BA710409B_Georgia_is_plugged_in_to_electric_transportation_Select_Georgia.html,2026-03-25T15:28:47,published
25,CAND_76366F29EB,American Battery Technology Company,review,https://www.sec.gov/Archives/edgar/data/1576873/000149315224050634/ex99-1.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_76366F29EB_ex99-1.htm,CAND_76366F29EB_ex99-1.htm,2026-03-25T15:28:47,published
26,CAND_96745E1FBA,MINERAL COMMODITY SUMMARIES 2025,review,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_96745E1FBA_mcs2025.pdf,CAND_96745E1FBA_mcs2025.pdf,2026-03-25T15:28:47,published
27,CAND_6EC8D62B2C,Distribution Centers Space Warehousing Savannah GA Port,review,https://seda.org/industries/logistics-distribution,evAutomationUpdated/data/tavily ready documents/review/CAND_6EC8D62B2C_Distribution_Centers_Space_Warehousing_Savannah_GA_Port.html,CAND_6EC8D62B2C_Distribution_Centers_Space_Warehousing_Savannah_GA_Port.html,2026-03-25T15:28:47,published
28,CAND_B3479BD148,Shifting Port Networks and Warehousing to Savannah | Porter Logistics,review,https://www.porter-logistics.com/blog/shifting-port-networks-and-warehousing-to-savannah-ga,evAutomationUpdated/data/tavily ready documents/review/CAND_B3479BD148_shifting-port-networks-and-warehousing-to-savannah-ga.html,CAND_B3479BD148_shifting-port-networks-and-warehousing-to-savannah-ga.html,2026-03-25T15:28:47,published
29,CAND_564677852C,Driving Growth in South Carolina's Battery and EV Supply ...,review,https://www.c2es.org/wp-content/uploads/2025/04/driving-growth-south-carolinas-battery-and-ev-supply-chain.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_564677852C_driving-growth-south-carolinas-battery-and-ev-supply-chain.pdf,CAND_564677852C_driving-growth-south-carolinas-battery-and-ev-supply-chain.pdf,2026-03-25T15:28:47,published
30,CAND_45A167702C,Information regarding Texas Competitive Electric Holdings Company LLC,review,https://www.sec.gov/Archives/edgar/data/1023291/000119312507220338/dex992.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_45A167702C_dex992.htm,CAND_45A167702C_dex992.htm,2026-03-25T15:28:47,published
31,CAND_666B327E9C,[PDF] Georgia Industrial Resource Fact Sheet - eere.energy.gov,review,https://www1.eere.energy.gov/manufacturing/states/pdfs/georgiaindustrialresourcefactsheet.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_666B327E9C_georgiaindustrialresourcefactsheet.pdf,CAND_666B327E9C_georgiaindustrialresourcefactsheet.pdf,2026-03-25T15:28:47,published
32,CAND_43AE8ADAA1,"Battery 2030: Resilient, sustainable, and circular",review,https://www.globalbattery.org/media/publications/battery-2030-resilient-sustainable-and-circular.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_43AE8ADAA1_battery-2030-resilient-sustainable-and-circular.pdf,CAND_43AE8ADAA1_battery-2030-resilient-sustainable-and-circular.pdf,2026-03-25T15:28:47,published
33,CAND_85D8AF04E6,ISSUE BRIEF: FEDERAL SUPPORT FOR EV JOBS IN GEORGIA,review,https://atlaspolicy.com/wp-content/uploads/2024/05/Issue-Brief-EV-Jobs-in-Georgia.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_85D8AF04E6_Issue-Brief-EV-Jobs-in-Georgia.pdf,CAND_85D8AF04E6_Issue-Brief-EV-Jobs-in-Georgia.pdf,2026-03-25T15:28:47,published
34,CAND_A0BABD57A1,"Savannah, Brunswick ports set for a $4.5B revamp",review,https://canada.constructconnect.com/dcn/news/usa/2024/10/savannah-brunswick-ports-set-for-a-4-5b-revamp,evAutomationUpdated/data/tavily ready documents/review/CAND_A0BABD57A1_savannah-brunswick-ports-set-for-a-4-5b-revamp.html,CAND_A0BABD57A1_savannah-brunswick-ports-set-for-a-4-5b-revamp.html,2026-03-25T15:28:47,published
35,CAND_DD5D88E9D8,EX-99.1,review,https://www.sec.gov/Archives/edgar/data/1859795/000095017024124739/nvx-ex99_1.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_DD5D88E9D8_nvx-ex99_1_3.htm,CAND_DD5D88E9D8_nvx-ex99_1_3.htm,2026-03-25T15:28:47,published
36,CAND_576DE13A51,GA DOT Working To Secure State’s Freight & Logistics Future,review,https://www.dot.ga.gov/PartnerSmart/Public/Viewpoint/FreightandLogistics.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_576DE13A51_FreightandLogistics.pdf,CAND_576DE13A51_FreightandLogistics.pdf,2026-03-25T15:28:47,published
37,CAND_26551063EE,Redwood Materials Will Build New Battery Recycling Facility In South Carolina - CleanTechnica,review,https://cleantechnica.com/2022/12/15/redwood-materials-will-build-new-battery-recycling-facility-in-south-carolina?amp=1,evAutomationUpdated/data/tavily ready documents/review/CAND_26551063EE_Redwood_Materials_Will_Build_New_Battery_Recycling_Facility_In_South_Carolina_-_CleanTechnic.html,CAND_26551063EE_Redwood_Materials_Will_Build_New_Battery_Recycling_Facility_In_South_Carolina_-_CleanTechnic.html,2026-03-25T15:28:47,published
38,CAND_DD0B639FB2,automotive-battery-supply-chain-analysis-2021- ...,review,https://new.abb.com/docs/librariesprovider89/default-document-library/automotive-battery-supply-chain-analysis-2021-final_abb_ams---abridged-version-docx.pdf?sfvrsn=3bc9f708_2,evAutomationUpdated/data/tavily ready documents/review/CAND_DD0B639FB2_automotive-battery-supply-chain-analysis-2021-final_abb_ams---abridged-version-docx.pdf,CAND_DD0B639FB2_automotive-battery-supply-chain-analysis-2021-final_abb_ams---abridged-version-docx.pdf,2026-03-25T15:28:47,published
39,CAND_A4F8C7DBBE,An update on our anode copper foil product & facility,review,https://www.redwoodmaterials.com/news/anode-copper-foil-product-update,evAutomationUpdated/data/tavily ready documents/review/CAND_A4F8C7DBBE_An_update_on_our_anode_copper_foil_product_&_facility.html,CAND_A4F8C7DBBE_An_update_on_our_anode_copper_foil_product_&_facility.html,2026-03-25T15:28:47,published
40,CAND_694E2FCB40,ECM Projects by County and city NOV-30- ECM Projects by County and city,review,https://gsfic.georgia.gov/document/publication/complete-listing-state-facility-projects/download,evAutomationUpdated/data/tavily ready documents/review/CAND_694E2FCB40_155196184ECM_Projects_by_County.pdf,CAND_694E2FCB40_155196184ECM_Projects_by_County.pdf,2026-03-25T15:28:47,published
41,CAND_6174C07344,clean energy plan,review,https://agenda.savannahga.gov/content/files/100-savannah-report_final_12162021.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_6174C07344_100-savannah-report_final_12162021.pdf,CAND_6174C07344_100-savannah-report_final_12162021.pdf,2026-03-25T15:28:47,published
42,CAND_97624751A8,"Port of Savannah | Savannah Infrastructure | Port, Interstate, Rail, Airport",review,https://seda.org/do-business-here/infrastructure,"evAutomationUpdated/data/tavily ready documents/review/CAND_97624751A8_Port_of_Savannah_Savannah_Infrastructure_Port,_Interstate,_Rail,_Airport.html","CAND_97624751A8_Port_of_Savannah_Savannah_Infrastructure_Port,_Interstate,_Rail,_Airport.html",2026-03-25T15:28:47,published
43,CAND_5C298345CA,December 2024: ISSUE 142 Responding to the China challenge:,review,https://www.oxfordenergy.org/wpcms/wp-content/uploads/2024/12/OEF-142.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_5C298345CA_OEF-142.pdf,CAND_5C298345CA_OEF-142.pdf,2026-03-25T15:28:47,published
44,CAND_B105D423FC,[PDF] Hybrid Power Plants for Energy Resilience: A Case Study,review,https://docs.nrel.gov/docs/fy25osti/90399.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_B105D423FC_90399.pdf,CAND_B105D423FC_90399.pdf,2026-03-25T15:28:47,published
45,CAND_B36897A5D5,Kelso Technologies Inc.: Exhibit 99.3 - Filed by newsfilecorp.com,review,https://www.sec.gov/Archives/edgar/data/1161814/000106299324010124/exhibit99-3.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_B36897A5D5_exhibit99-3_2.htm,CAND_B36897A5D5_exhibit99-3_2.htm,2026-03-25T15:28:47,published
46,CAND_C132BD0770,FinancialContent - The New Industrial Powerhouse: How the Southeast is Defying National Headwinds in 2026,review,https://markets.financialcontent.com/stocks/article/marketminute-2026-3-18-the-new-industrial-powerhouse-how-the-southeast-is-defying-national-headwinds-in-2026,evAutomationUpdated/data/tavily ready documents/review/CAND_C132BD0770_marketminute-2026-3-18-the-new-industrial-powerhouse-how-the-southeast-is-defying-national-h.html,CAND_C132BD0770_marketminute-2026-3-18-the-new-industrial-powerhouse-how-the-southeast-is-defying-national-h.html,2026-03-25T15:28:47,published
47,CAND_B843606025,Anovion to build battery material plant in Georgia - electrive.com,review,https://www.electrive.com/2023/05/16/anovion-to-build-battery-material-plant-in-georgia,evAutomationUpdated/data/tavily ready documents/review/CAND_B843606025_Anovion_to_build_battery_material_plant_in_Georgia_-_electrive.html,CAND_B843606025_Anovion_to_build_battery_material_plant_in_Georgia_-_electrive.html,2026-03-25T15:28:47,published
48,CAND_B70A24E905,Kelso Technologies Inc.: Form 20-F,review,https://sec.gov/Archives/edgar/data/1161814/000106299324008042/form20f.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_B70A24E905_form20f.htm,CAND_B70A24E905_form20f.htm,2026-03-25T15:28:47,published
49,CAND_A772A83DF3,"Day 4 - From Rocks to Robots: Building the Battery Supply Chain for Resilience, Cost, and Carbon",review,https://www.linkedin.com/pulse/day-4-from-rocks-robots-building-battery-supply-chain-baljeet-yadav-1ebyf,evAutomationUpdated/data/tavily ready documents/review/CAND_A772A83DF3_day-4-from-rocks-robots-building-battery-supply-chain-baljeet-yadav-1ebyf.html,CAND_A772A83DF3_day-4-from-rocks-robots-building-battery-supply-chain-baljeet-yadav-1ebyf.html,2026-03-25T15:28:47,published
50,CAND_D51FF68E84,ALTRIOS Software Helps Launch Next-Generation Railcars in Heart of Georgia | NLR,review,https://www.nrel.gov/news/detail/features/2025/altrios-software-helps-launch-next-generation-railcars-in-heart-of-georgia,evAutomationUpdated/data/tavily ready documents/review/CAND_D51FF68E84_altrios-software-helps-launch-next-generation-railcars-in-heart-of-georgia_2.html,CAND_D51FF68E84_altrios-software-helps-launch-next-generation-railcars-in-heart-of-georgia_2.html,2026-03-25T15:28:47,published
51,CAND_63F12322D4,[PDF] State of Georgia ENERGY SECTOR RISK PROFILE,review,https://www.energy.gov/sites/default/files/2021-09/Georgia%20Energy%20Sector%20Risk%20Profile.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_63F12322D4_Georgia%20Energy%20Sector%20Risk%20Profile.pdf,CAND_63F12322D4_Georgia%20Energy%20Sector%20Risk%20Profile.pdf,2026-03-25T15:28:47,published
52,CAND_A9769238AE,Cogeneration,review,https://www.drawdownga.org/wp-content/uploads/2020/10/101620_Electricity_TechnicalReport.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_A9769238AE_101620_Electricity_TechnicalReport.pdf,CAND_A9769238AE_101620_Electricity_TechnicalReport.pdf,2026-03-25T15:28:47,published
53,CAND_1B7ED6D429,American Battery Technology Company,review,https://www.sec.gov/Archives/edgar/data/1576873/000149315225007582/ex99-3.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_1B7ED6D429_ex99-3.htm,CAND_1B7ED6D429_ex99-3.htm,2026-03-25T15:28:47,published
54,CAND_9D740B95F0,Powering the Future: Overcoming Battery Supply Chain Challenges,review,https://reports.weforum.org/docs/WEF_Powering_the_Future_2025.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_9D740B95F0_WEF_Powering_the_Future_2025.pdf,CAND_9D740B95F0_WEF_Powering_the_Future_2025.pdf,2026-03-25T15:28:47,published
55,CAND_7979421E84,Georgia Ports welcomes new MEDLOG flagship cold chain facility to Savannah • The Georgia Virtue,review,https://www.thegeorgiavirtue.com/local-news-south-georgia/georgia-ports-welcomes-new-medlog-flagship-cold-chain-facility-to-savannah,evAutomationUpdated/data/tavily ready documents/review/CAND_7979421E84_Georgia_Ports_welcomes_new_MEDLOG_flagship_cold_chain_facility_to_Savannah_•_The_Georgia_Vir.html,CAND_7979421E84_Georgia_Ports_welcomes_new_MEDLOG_flagship_cold_chain_facility_to_Savannah_•_The_Georgia_Vir.html,2026-03-25T15:28:47,published
56,CAND_0EE2A124FA,Southeast Georgia: Blossoming Ecosystem - Georgia Trend Magazine,review,https://www.georgiatrend.com/2023/03/29/2023-economic-yearbook-southeast-georgia,evAutomationUpdated/data/tavily ready documents/review/CAND_0EE2A124FA_Southeast_Georgia_Blossoming_Ecosystem_-_Georgia_Trend_Magazine.html,CAND_0EE2A124FA_Southeast_Georgia_Blossoming_Ecosystem_-_Georgia_Trend_Magazine.html,2026-03-25T15:28:47,published
57,CAND_F262E5C9CC,EX-99.1,review,https://www.sec.gov/Archives/edgar/data/1859795/000095017024114374/nvx-ex99_1.htm,evAutomationUpdated/data/tavily ready documents/review/CAND_F262E5C9CC_nvx-ex99_1_2.htm,CAND_F262E5C9CC_nvx-ex99_1_2.htm,2026-03-25T15:28:47,published
58,CAND_F83CA64B15,Qcells | Department of Energy,review,https://www.energy.gov/edf/qcells,evAutomationUpdated/data/tavily ready documents/review/CAND_F83CA64B15_qcells.html,CAND_F83CA64B15_qcells.html,2026-03-25T15:28:47,published
59,CAND_EC5618F90D,Projects | Department of Energy,review,https://www.energy.gov/lpo/listings/projects,evAutomationUpdated/data/tavily ready documents/review/CAND_EC5618F90D_projects_2.html,CAND_EC5618F90D_projects_2.html,2026-03-25T15:28:47,published
60,CAND_03D60AB2F2,Hyundai Plans 3 Battery Factories With Annual Capacity Of 90 GWh In Georgia - CleanTechnica,review,https://cleantechnica.com/2022/11/29/hyundai-plans-3-battery-factories-with-annual-capacity-of-90-gwh-in-georgia,evAutomationUpdated/data/tavily ready documents/review/CAND_03D60AB2F2_Hyundai_Plans_3_Battery_Factories_With_Annual_Capacity_Of_90_GWh_In_Georgia_-_CleanTechnica.html,CAND_03D60AB2F2_Hyundai_Plans_3_Battery_Factories_With_Annual_Capacity_Of_90_GWh_In_Georgia_-_CleanTechnica.html,2026-03-25T15:28:47,published
61,CAND_74D732B96B,Georgia’s Battery-Powered Future - Georgia Trend Magazine,review,https://www.georgiatrend.com/2024/04/30/georgias-battery-powered-future,evAutomationUpdated/data/tavily ready documents/review/CAND_74D732B96B_Georgia’s_Battery-Powered_Future_-_Georgia_Trend_Magazine.html,CAND_74D732B96B_Georgia’s_Battery-Powered_Future_-_Georgia_Trend_Magazine.html,2026-03-25T15:28:47,published
62,CAND_7610510CA6,"Savannah Port growth means billions in investment, infrastructure lags",review,https://www.savannahnow.com/story/news/local/2022/07/28/savannah-ga-port-growth-billions-investment-infrastructure-lags/10096601002,"evAutomationUpdated/data/tavily ready documents/review/CAND_7610510CA6_Savannah_Port_growth_means_billions_in_investment,_infrastructure_lags.html","CAND_7610510CA6_Savannah_Port_growth_means_billions_in_investment,_infrastructure_lags.html",2026-03-25T15:28:47,published
63,CAND_9FF6B3FBCE,Powering the EU's future: Strengthening the battery industry,review,https://www.europarl.europa.eu/RegData/etudes/BRIE/2025/767214/EPRS_BRI(2025)767214_EN.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_9FF6B3FBCE_EPRS_BRI(2025)767214_EN.pdf,CAND_9FF6B3FBCE_EPRS_BRI(2025)767214_EN.pdf,2026-03-25T15:28:47,published
64,CAND_9EC4665791,Climate Change and the U.S. Energy Sector,review,https://www.energy.gov/sites/prod/files/2015/10/f27/Regional_Climate_Vulnerabilities_and_Resilience_Solutions_0.pdf,evAutomationUpdated/data/tavily ready documents/review/CAND_9EC4665791_Regional_Climate_Vulnerabilities_and_Resilience_Solutions_0.pdf,CAND_9EC4665791_Regional_Climate_Vulnerabilities_and_Resilience_Solutions_0.pdf,2026-03-25T15:28:47,published
65,CAND_2A5CB4FFAF,Hyundai Motor Group Will Build Big EV Plant And Battery Facility In Georgia,review,https://insideevs.com/news/587322/hyundai-build-ev-plant-battery-georgia,evAutomationUpdated/data/tavily ready documents/review/CAND_2A5CB4FFAF_Hyundai_Motor_Group_Will_Build_Big_EV_Plant_And_Battery_Facility_In_Georgia.html,CAND_2A5CB4FFAF_Hyundai_Motor_Group_Will_Build_Big_EV_Plant_And_Battery_Facility_In_Georgia.html,2026-03-25T15:28:47,published
66,CAND_23A6374C1E,How the Inflation Reduction Act Impacts Georgia’s EV Industry,review,https://www.governing.com/next/how-the-inflation-reduction-act-impacts-georgias-ev-industry,evAutomationUpdated/data/tavily ready documents/review/CAND_23A6374C1E_how-the-inflation-reduction-act-impacts-georgias-ev-industry.html,CAND_23A6374C1E_how-the-inflation-reduction-act-impacts-georgias-ev-industry.html,2026-03-25T15:28:47,published
